#{"t_start": 1728372600.9790032, "env_id": "None"}
r,l,t
36.373466,37,7.453983
41.384617,35,14.253516
41.164778,38,20.445923
31.572363,51,31.604868
39.882513,36,38.933894
39.199873,35,45.993748
40.222345,33,51.487705
40.359691,40,58.206857
37.632556,40,65.990772
33.962988,36,72.369152
