#{"t_start": 1728372976.4312315, "env_id": "None"}
r,l,t
40.155118,32,1812.438584
39.733118,39,1818.96564
45.111905,32,1824.524295
38.273314,35,1832.360052
46.078923,38,1838.760438
40.268774,35,1846.364986
40.603008,35,1854.236482
32.532729,40,1861.273849
40.231373,34,1867.42093
38.009669,36,1875.455023
43.128516,41,1883.241549
46.879773,34,1889.432179
41.125536,37,1896.197365
46.575316,33,1902.139257
37.959619,38,1908.943989
46.764208,33,1915.288936
37.721027,42,1923.558383
36.15137,35,1930.155082
33.621345,44,1938.114322
39.893351,39,1946.256229
30.851594,46,1954.404569
45.938896,43,1961.641032
40.984367,36,1969.488503
38.697676,41,1979.223133
42.850241,37,1985.700185
38.511881,39,1993.088922
37.421598,38,2000.667142
38.388134,39,2008.83788
36.501043,39,2016.601492
31.375197,42,2024.851599
36.524119,37,2032.531108
43.956717,38,2038.500567
36.550903,38,2045.282124
43.11782,36,2051.894054
38.359626,35,2058.038577
37.993489,38,2066.300611
34.186143,34,2072.913921
38.896692,37,2080.307575
39.618324,38,2088.575053
36.413116,37,2095.850083
39.602471,37,2102.941149
38.08813,39,2110.749036
40.496621,36,2116.556727
28.779353,38,2125.273307
45.517082,39,2132.348891
44.465374,40,2139.425797
43.039666,37,2146.161028
42.20592,39,2152.578881
34.581901,35,2159.189489
36.127137,34,2166.427566
47.650018,39,2172.402282
34.352664,38,2181.092708
48.752012,36,2186.810174
36.924544,36,2193.849097
34.544309,36,2201.728751
40.245294,38,2209.187937
36.492758,38,2217.442983
43.81743,43,2226.219213
38.614885,29,2232.057726
35.66891,36,2238.844723
46.059833,36,2246.157435
31.360754,44,2255.494616
41.218625,37,2262.319458
42.390131,34,2268.692862
34.097087,37,2277.259963
41.303812,35,2283.4184
40.980304,38,2290.104398
41.981127,38,2297.983068
38.887022,39,2304.682651
13.253908,45,2315.244006
31.29268,39,2323.2469
39.357941,39,2332.823976
44.39936,38,2339.103103
38.269194,41,2346.96736
35.24017,34,2353.974029
36.61747,37,2360.993138
38.470561,37,2367.801026
38.645338,46,2377.275756
38.254173,37,2383.932878
38.181613,38,2391.47793
38.788993,36,2399.191904
43.667976,32,2405.087434
34.872636,31,2411.48543
40.324679,40,2418.568937
39.841808,33,2424.928552
38.285248,38,2432.257313
33.008892,38,2440.491436
38.117197,35,2447.409094
44.782606,36,2453.599472
40.471453,42,2460.933972
37.173663,43,2471.031515
40.276189,38,2478.129595
34.403865,44,2488.194743
40.57394,38,2494.933415
32.271385,35,2501.383266
40.712387,36,2507.145013
33.358704,40,2515.083206
29.366449,41,2523.713623
42.486751,34,2530.041895
35.394131,42,2537.660039
41.201329,36,2543.882811
38.54089,36,2550.246604
37.616582,42,2557.797452
47.631015,39,2564.173288
36.734835,31,2570.219296
34.500954,31,2576.498604
41.549831,39,2585.43615
35.482391,37,2592.584265
37.905669,38,2598.850026
41.478034,40,2605.834791
39.697709,38,2613.825001
41.550828,40,2622.127411
35.985138,33,2628.517132
52.728765,40,62674.950853
36.08269,43,62684.135755
42.574924,36,62689.953841
44.238771,39,62696.005302
42.790138,36,62703.23558
39.630382,41,62711.621671
43.157816,32,62717.589799
41.713424,35,62724.147913
39.10884,35,62731.226819
40.045534,48,62740.257776
43.648542,34,62746.451589
37.465747,38,62754.833892
40.220225,33,62761.441769
40.761313,38,62768.43933
40.097978,32,62774.233927
40.006984,35,62780.095249
43.560035,41,62786.758008
44.606389,40,62793.859939
49.305101,36,62799.465593
37.249519,35,62806.557829
52.24213,35,62812.377237
36.095658,40,62820.332511
37.27551,39,62827.580566
39.555918,37,62835.353595
32.649326,37,62843.116232
37.912375,36,62850.792595
39.815166,35,62857.197688
41.79219,37,62863.782462
36.162641,39,62870.752166
37.128472,40,62878.030914
39.947334,35,62884.749763
34.381914,39,62892.053957
42.874492,40,62899.548187
43.803662,40,62906.314303
43.944224,36,62912.752137
34.993648,40,62921.200066
40.335583,36,62927.150458
39.118333,39,62934.911437
14.490864,43,62944.095513
41.063278,34,62950.310343
43.451855,37,62957.086904
38.147217,38,62963.860584
38.734471,39,62971.262997
42.396523,34,62977.575533
39.278018,34,62983.322201
42.29898,37,62990.180182
44.133885,38,62997.228521
39.241373,38,63004.705381
37.222392,37,63012.357997
32.985626,36,63019.37993
46.471563,42,63027.739878
32.870049,39,63036.190439
36.905844,39,63044.01312
37.778262,32,63050.243361
38.258584,36,63056.786195
37.691579,32,63063.835058
40.200126,35,63069.942133
39.749027,39,63077.936186
35.802665,39,63086.074874
38.402566,37,63092.318695
44.332894,36,63098.466527
39.916298,37,63105.487113
41.959164,35,63111.496742
43.903769,42,63118.560927
36.985083,40,63126.390722
47.077533,36,63132.769404
43.912454,35,63139.497428
31.858181,41,63147.785764
35.738211,34,63155.042285
32.26738,40,63163.379223
33.019453,39,63172.60284
36.523942,40,63180.451679
42.503975,36,63186.705702
44.998783,41,63193.302691
46.908481,35,63199.478913
39.458063,33,63206.259063
36.222752,38,63213.516403
43.939859,41,63222.099781
35.179455,39,63228.836256
34.946795,39,63235.748368
39.144951,41,63243.033574
42.599192,38,63249.819083
53.131237,33,63255.343522
39.621435,37,63263.222522
44.042538,37,63270.482962
49.481804,35,63277.471551
38.505591,34,63284.41517
41.613777,31,63290.520168
33.286016,34,63298.333246
43.224085,39,63305.292363
40.236075,39,63312.233075
40.496144,35,63319.736025
39.516263,36,63326.931726
38.166423,40,63334.704038
43.785167,36,63340.540301
42.91248,38,63348.030595
39.376928,35,63355.541539
41.382426,48,63363.705786
43.523047,35,63369.992291
38.587799,31,63376.635154
35.091241,43,63387.261958
48.578386,38,63393.899037
45.266691,42,63400.687641
37.858173,34,63407.980322
34.186768,38,63415.642224
37.602725,40,63423.639899
38.260222,38,63430.916731
39.31967,39,63437.106385
34.935174,47,63444.677525
34.659799,42,63454.612699
45.724657,46,63462.220212
34.885428,36,63468.321489
32.976686,38,63476.304816
31.960494,33,63483.4253
40.363817,42,63490.536052
36.517179,36,63496.761742
40.007018,37,63504.551964
40.598974,35,63511.932184
46.341916,38,63518.449328
44.043971,35,63525.122961
35.15257,42,63534.368597
41.141297,35,63541.34462
44.4396,39,63548.332491
36.423577,41,63556.44871
42.410522,37,63563.255126
31.371124,37,63570.505525
37.149744,36,63577.779944
41.128066,34,63584.413791
36.797828,32,63590.870512
43.200169,35,63596.857982
36.469426,37,63604.515094
35.163104,36,63611.176565
35.896495,34,63617.944664
41.848002,34,63625.204582
54.461995,37,63632.88672
13.205776,40,63640.62367
45.825313,35,63647.924004
42.805201,37,63653.72148
35.963305,35,63660.32306
31.135861,42,63667.826013
33.80759,39,63676.344852
38.7656,34,63683.25475
34.370658,36,63690.388559
46.682469,32,63695.486121
38.405757,33,63701.932477
34.473198,36,63708.666163
39.208969,35,63714.63223
39.276191,39,63721.873627
41.724753,36,63729.014498
41.150065,34,63735.737199
40.022551,34,63742.528023
33.70784,37,63749.871826
43.410587,42,63757.214609
32.582408,36,63765.014596
42.223562,36,63771.658246
40.287973,39,63778.863738
38.861709,35,63785.765545
39.2321,36,63792.33886
39.264427,40,63800.076202
36.444218,38,63808.086103
41.052883,31,63814.467992
37.684714,35,63821.58883
38.048037,31,63828.512657
41.72706,34,63834.302616
32.074895,41,63842.944153
39.114105,36,63849.727381
36.914485,42,63859.364401
45.257886,32,63865.007349
40.445561,32,63871.842163
36.786733,39,63879.416975
35.002746,40,63886.225987
34.647966,39,63893.955439
30.778924,36,63902.174438
36.434157,39,63909.64122
43.026309,33,63916.014209
52.246077,38,63922.400106
37.63859,38,63930.087652
40.109928,37,63936.386434
34.789435,42,63945.077004
41.682244,41,63953.184913
29.557317,38,63960.705819
41.861347,36,63967.328313
42.460322,34,63973.389365
41.927874,33,63980.075037
40.268467,37,63987.053949
32.21576,42,63995.408437
41.782285,39,64002.079676
39.591187,34,64008.564737
37.838546,36,64015.490478
37.386489,38,64021.4331
35.156236,36,64027.685451
39.854511,36,64034.083939
37.161584,33,64041.189406
33.849309,40,64049.778289
37.846492,40,64057.687994
35.24066,40,64065.212208
32.924973,40,64073.278021
